time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-05-12T21:12:58.890Z,38.9056,142.0317,35,6.8,mww,,8,1.422,0.84,us,us20002et4,2016-11-10T21:47:30.726Z,"32km SE of Ofunato, Japan",earthquake,4.7,1.9,,,reviewed,us,us
2015-05-12T07:05:19.730Z,27.8087,86.0655,15,7.3,mww,,11,0.677,0.92,us,us20002ejl,2016-11-10T21:47:29.042Z,"19km SE of Kodari, Nepal",earthquake,7.4,1.7,,,reviewed,us,us
2015-05-07T07:10:19.590Z,-7.2175,154.5567,10,7.1,mww,,11,3.835,0.7,us,us20002das,2016-11-10T21:47:24.029Z,"143km SW of Panguna, Papua New Guinea",earthquake,7.1,1.7,,,reviewed,us,us
2015-05-05T01:44:06.380Z,-5.4624,151.8751,55,7.5,mww,,22,1.295,1.02,us,us20002bnf,2016-11-10T21:47:22.378Z,"130km SSW of Kokopo, Papua New Guinea",earthquake,6.1,1.9,,,reviewed,us,us
2015-05-01T08:06:03.480Z,-5.2005,151.7773,44,6.8,mww,,23,1.074,0.65,us,us20002am6,2016-11-10T21:47:18.750Z,"108km SSW of Kokopo, Papua New Guinea",earthquake,6.8,1.8,,,reviewed,us,us
2015-04-30T10:45:02.930Z,-5.375,151.7706,31,6.7,mww,,12,1.239,1.1,us,us20002ag9,2016-11-10T21:47:18.186Z,"125km SSW of Kokopo, Papua New Guinea",earthquake,6.3,1.7,,,reviewed,us,us
2015-04-26T07:09:10.670Z,27.7711,86.0173,22.91,6.7,mww,,13,0.727,0.86,us,us200029bt,2016-11-10T21:47:15.385Z,"21km SSE of Kodari, Nepal",earthquake,6.6,2.9,,,reviewed,us,us
2015-04-25T06:45:21.320Z,28.2244,84.8216,10,6.6,mww,,16,1.778,0.64,us,us2000292y,2016-11-10T21:47:14.821Z,"44km E of Lamjung, Nepal",earthquake,7.4,1.7,,,reviewed,us,us
2015-04-25T06:11:25.950Z,28.2305,84.7314,8.22,7.8,mww,,12,1.857,0.96,us,us20002926,2016-11-10T21:47:14.141Z,"36km E of Khudi, Nepal",earthquake,7.3,2.9,,,reviewed,us,us
2015-04-17T15:52:51.480Z,-15.8815,-178.6005,10,6.5,mww,,42,3.702,1.07,us,us200027c2,2016-11-10T21:47:08.664Z,"181km SSW of Sigave, Wallis and Futuna",earthquake,4.4,1.8,,,reviewed,us,us
2015-03-30T08:48:25.340Z,-15.4994,-173.0293,11,6.5,mww,,36,4.629,0.9,us,us10001ryu,2016-11-10T21:46:55.900Z,"91km ENE of Hihifo, Tonga",earthquake,8.5,1.7,,,reviewed,us,us
2015-03-29T23:48:31.010Z,-4.7294,152.5623,41,7.5,mww,,19,0.666,1.32,us,us10001rvu,2016-11-10T21:46:54.186Z,"53km SE of Kokopo, Papua New Guinea",earthquake,7,1.8,,,reviewed,us,us
2015-02-27T13:45:05.370Z,-7.2968,122.5348,552.06,7,mww,,12,1.362,1.12,us,usc000ttkd,2016-11-10T21:46:39.709Z,"130km N of Nebe, Indonesia",earthquake,7.1,3.6,,,reviewed,us,us
2015-02-16T23:06:28.270Z,39.8558,142.8808,23,6.7,mww,,20,1.925,0.94,us,usb000tpvj,2016-11-10T21:46:28.178Z,"83km ENE of Miyako, Japan",earthquake,3.8,1.8,,,reviewed,us,us
2015-02-13T18:59:12.230Z,52.6487,-31.9016,16.68,7.1,mww,,17,11.262,0.79,us,usb000tp5q,2016-11-10T21:46:25.850Z,"Northern Mid-Atlantic Ridge",earthquake,6.8,1.4,,,reviewed,us,us
2015-02-11T18:57:22.460Z,-23.1125,-66.688,223,6.7,mww,,16,2.11,1.02,us,usc000tp1s,2016-11-10T21:46:24.053Z,"102km W of El Aguilar, Argentina",earthquake,7.1,1.8,,,reviewed,us,us
2015-01-23T03:47:27.050Z,-17.0309,168.52,219.96,6.8,mww,,13,2.019,0.71,us,usc000tihy,2016-11-10T21:46:09.540Z,"80km NNE of Port-Vila, Vanuatu",earthquake,7.7,1.1,,,reviewed,us,us
2015-01-07T05:07:07.510Z,5.9045,-82.6576,8,6.5,mww,,61,4.318,1.17,us,usc000tcba,2016-11-10T21:46:01.157Z,"236km S of Punta de Burica, Panama",earthquake,7.3,1.8,,,reviewed,us,us
2014-12-08T08:54:52.520Z,7.9401,-82.6865,20,6.6,mww,,43,2.485,1.01,us,usc000t4iq,2016-11-10T21:45:41.228Z,"22km ESE of Punta de Burica, Panama",earthquake,3.6,1.8,,,reviewed,us,us
2014-12-07T01:22:02.180Z,-6.5108,154.4603,23,6.6,mww,,12,3.246,0.72,us,usc000t4cz,2016-11-10T21:45:38.387Z,"115km W of Panguna, Papua New Guinea",earthquake,6.9,1.7,,,reviewed,us,us
2014-12-02T05:11:31.000Z,6.1572,123.1261,614,6.6,mww,,9,2.6,1.32,us,usb000t20t,2016-11-10T21:45:33.845Z,"106km WSW of Sangay, Philippines",earthquake,8.6,1.9,,,reviewed,us,us
2014-11-26T14:33:43.640Z,1.9604,126.5751,39,6.8,mww,,19,1.421,1.19,us,usb000t08w,2016-11-10T21:45:28.222Z,"157km NW of Kota Ternate, Indonesia",earthquake,4.3,1.7,,,reviewed,us,us
2014-11-21T10:10:19.630Z,2.2999,127.0562,35,6.5,mww,,9,1.549,1.16,us,usb000syhz,2016-11-10T21:45:24.120Z,"123km WNW of Tobelo, Indonesia",earthquake,5.1,1.8,,,reviewed,us,us
2014-11-16T22:33:20.450Z,-37.6478,179.6621,22,6.7,mww,,25,1.079,0.49,us,usc000sxye,2016-11-10T21:45:18.000Z,"183km NE of Gisborne, New Zealand",earthquake,6.4,1.7,,,reviewed,us,us
2014-11-15T02:31:41.720Z,1.8929,126.5217,45,7.1,mww,,18,1.397,0.71,us,usc000sxh8,2016-11-10T21:45:16.349Z,"154km NW of Kota Ternate, Indonesia",earthquake,5.8,1.7,,,reviewed,us,us
2014-11-07T03:33:55.280Z,-5.9873,148.2315,53.19,6.6,mww,,13,3.557,0.91,us,usc000sv94,2016-11-10T21:45:09.570Z,"79km NNE of Finschhafen, Papua New Guinea",earthquake,6.2,3.1,,,reviewed,us,us
